"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01033"," Granby","MA","Springfield, MA","""Springfield, MA""",,3.66485345457498,100,,,238100,0.29486099410278,3.11823300129926,0.0229357412851743,,0.0577405857740586,0.0579710144927536,
"Zip","01034","Tolland","MA","Springfield, MA","""Springfield, MA""",,1.96476414711375,100,,392.1569,256600,-0.116776956014013,0.195236235845373,0.0162236944660952,,0.0727848101265823,0,
"Zip","01035","Hadley","MA","Springfield, MA","""Springfield, MA""",,4.04238044978485,100,,,324200,0.247371675943105,1.821608040201,0.017646514497224,,0.0494350282485876,0.0285714285714286,
"Zip","01036","Hampden","MA","Springfield, MA","""Springfield, MA""",,3.39774295688885,100,,,270400,-0.294985250737463,5.17308440295605,0.0267936390532544,,0.0482076637824475,0.0769230769230769,
"Zip","01038"," Hatfield","MA","Springfield, MA","""Springfield, MA""",,7.24121133392872,100,,,304200,0.230642504118616,4.60797799174691,0.0268639053254438,,0.0293333333333333,0,
"Zip","01040","Holyoke","MA","Springfield, MA","""Springfield, MA""",,2.95364130876025,76.47,,3.0549,187200,0.429184549356223,7.46268656716418,0.026917735042735,,0.0978189028420357,0.0844594594594595,
"Zip","01050","Huntington","MA","Springfield, MA","""Springfield, MA""",,0.800519607047171,66.67,,83.9743,217400,-0.457875457875458,5.1257253384913,0.0215731370745169,,0.0349206349206349,0.181818181818182,
"Zip","01053","Northampton","MA","Springfield, MA","""Springfield, MA""",,1.11553137939433,100,,,255100,-1.12403100775194,1.02970297029703,0.0148098784790278,,0.0526315789473684,0.0909090909090909,
"Zip","01054","Leverett","MA","Greenfield Town, MA","""Greenfield Town, MA""",,3.91491434602582,100,,,295600,-1.92435301924353,-5.408,,,0.0413793103448276,0,
"Zip","01056","Ludlow","MA","Springfield, MA","""Springfield, MA""",,4.13006413899488,100,,,217700,0.184077312471238,5.11830033800097,0.0251722553973357,,0.069485414618158,0.0471698113207547,
"Zip","01057","Monson","MA","Springfield, MA","""Springfield, MA""",,1.452464074044,50,,,238000,-0.418410041841004,7.40072202166065,0.0258613445378151,,0.0821089023336214,0.0736842105263158,
"Zip","01060","Northampton","MA","Springfield, MA","""Springfield, MA""",,2.58179751562881,100,,,279400,-1.13234253361642,1.52616279069767,0.0148890479599142,,0.0679012345679012,0.0113636363636364,
"Zip","01062","Northampton","MA","Springfield, MA","""Springfield, MA""",,1.96232848908013,75,,,267700,-1.47221199852779,0.299737729486699,0.0240381023533807,,0.0502484815019326,0.021978021978022,
"Zip","01068","Oakham","MA","Worcester, MA","""Worcester, MA-CT""",,2.83348217910205,50,,,284400,0.0703729767769177,3.23049001814882,0.0337798874824191,,0.0398860398860399,0.0714285714285714,
"Zip","01069"," Palmer","MA","Springfield, MA","""Springfield, MA""",,1.78777299667127,100,,11.7001,188000,-0.686740623349181,9.36591041303083,0.0288297872340426,,0.101027397260274,0.101694915254237,
"Zip","01071","Russell","MA","Springfield, MA","""Springfield, MA""",,1.94446699683364,,,,229100,-0.564236111111111,5.86876155268022,0.0289131383675252,,0.072463768115942,0.266666666666667,
"Zip","01072","Shutesbury","MA","Greenfield Town, MA","""Greenfield Town, MA""",,0.481448404643988,100,,,225500,-1.65721761883995,-3.50877192982456,,,0.0797101449275362,0.136363636363636,
"Zip","01073","Southampton","MA","Springfield, MA","""Springfield, MA""",,1.67004952504668,50,,6.4102,292900,-0.543293718166384,4.27198291206835,0.0291669511778765,,0.0419642857142857,0.0638297872340425,
"Zip","01075","South Hadley","MA","Springfield, MA","""Springfield, MA""",,4.5157099943168,100,,1.8218,226000,0.310696848646249,4.09949332105021,0.0229999999999999,,0.0753787878787879,0.0452261306532663,
"Zip","01077","Southwick","MA","Springfield, MA","""Springfield, MA""",,3.95875619063084,100,,4.8355,243700,1.03648424543947,3.79045996592845,0.0231596224866639,,0.0587058038692462,0.125,
"Zip","01080","Three Rivers","MA","Springfield, MA","""Springfield, MA""",,1.07331330681172,100,,43.9561,174000,-0.967558338076266,7.14285714285714,0.0299770114942528,,0.123931623931624,0.103448275862069,
"Zip","01081","Wales","MA","Springfield, MA","""Springfield, MA""",,7.12186409028172,,,,196900,0.561797752808989,6.43243243243243,0.0274504824784154,,0.0952380952380952,0,
"Zip","01082"," Ware","MA","Springfield, MA","""Springfield, MA""",,1.80807014695137,87.5,,17.5213,199200,0.35264483627204,6.18336886993603,0.0223142570281125,,0.0755589822667695,0.122448979591837,
"Zip","01083"," Warren","MA","Worcester, MA","""Worcester, MA-CT""",,2.37314281074937,100,,14.57,199500,-0.200100050025012,4.94476591267754,0.0322606516290727,,0.0578313253012048,0.125,
"Zip","01085","Westfield","MA","Springfield, MA","""Springfield, MA""",,1.56856377364618,90.48,7.1349,3.9103,225800,-0.309050772626932,1.9873532068654,0.0279096545615589,,0.0830518577389231,0.069377990430622,
"Zip","01089","West Springfield","MA","Springfield, MA","""Springfield, MA""",,3.00154258342129,100,,2.7905,215800,0.325430032543003,3.05635148042025,0.0245134383688601,,0.0895061728395062,0.0655172413793104,
"Zip","01095"," Wilbraham","MA","Springfield, MA","""Springfield, MA""",,1.74555492408866,77.78,,4.0561,283100,0.176928520877565,2.90803344238459,0.0201271635464499,,0.0657453936348409,0.0700636942675159,
"Zip","01096","Williamsburg","MA","Springfield, MA","""Springfield, MA""",,3.05837460420557,100,,44.5633,241800,-0.165152766308836,1.17154811715481,0.0217783291976841,,0.0445205479452055,0,
"Zip","01098","Worthington","MA","Springfield, MA","""Springfield, MA""",,3.29788097751076,100,,,244700,0.741045697818032,2.38493723849372,0.0172864732325295,,0.050561797752809,0.222222222222222,
"Zip","01104","Springfield","MA","Springfield, MA","""Springfield, MA""",,3.31168303970123,100,,6.6337,138900,0.216450216450216,11.208967173739,0.0427285817134628,,0.166976744186047,0.11142061281337,
"Zip","01105","Springfield","MA","Springfield, MA","""Springfield, MA""",,2.6816594950069,,,165.7459,113500,2.994555353902,14.3001007049345,0.0258149779735684,,0.217391304347826,0.166666666666667,
"Zip","01106","Longmeadow","MA","Springfield, MA","""Springfield, MA""",,1.38588942112527,71.43,,6.3563,334400,0.269865067466267,1.95121951219512,0.0179665071770334,,0.0772342773078337,0.0428571428571429,
"Zip","01107","Springfield","MA","Springfield, MA","""Springfield, MA""",,0.814321669237639,66.67,,,141800,0.141242937853107,6.45645645645646,0.0258392101551481,,0.161111111111111,0.103448275862069,
"Zip","01108","Springfield","MA","Springfield, MA","""Springfield, MA""",,2.6808476089957,77.78,,5.6744,154900,0.780741704619388,9.70254957507082,0.0311297611362169,,0.175810473815461,0.0815602836879433,
"Zip","01109","Springfield","MA","Springfield, MA","""Springfield, MA""",,3.28326702930908,100,,23.0159,136200,0.590841949778434,13.216957605985,0.0361453744493392,,0.156881164866134,0.146706586826347,
"Zip","01118","Springfield","MA","Springfield, MA","""Springfield, MA""",,2.76690752618332,100,,3.6798,170000,0.472813238770686,6.64993726474278,0.0264294117647059,,0.136980830670927,0.104956268221574,
"Zip","01119","Springfield","MA","Springfield, MA","""Springfield, MA""",,1.16343265405537,100,,6.5582,154500,0.324675324675325,3.4136546184739,0.0249838187702265,,0.15056664867782,0.14336917562724,
"Zip","01128","Springfield","MA","Springfield, MA","""Springfield, MA""",,3.72006170333685,100,,6.3052,184200,0.436205016357688,7.46791131855309,0.0287893593919653,,0.0847750865051903,0.0816326530612245,
"Zip","01129","Springfield","MA","Springfield, MA","""Springfield, MA""",,2.44864820979135,100,,6.6062,167200,0.844390832328106,5.2896725440806,0.0248325358851675,,0.129969418960245,0.1,
"Zip","01151","Springfield","MA","Springfield, MA","""Springfield, MA""",,0.41730940975887,66.67,,19.1142,134500,0.148920327624721,5.73899371069182,0.0265427509293681,,0.17039586919105,0.111111111111111,
"Zip","01201","Pittsfield","MA","Pittsfield, MA","""Pittsfield, MA""",,0.316635544369571,80.95,,5.1865,155500,-0.32051282051282,0.387346675274371,0.00136977491961421,,0.119552314736307,0.0453900709219858,
"Zip","01220"," Adams","MA","Pittsfield, MA","""Pittsfield, MA""",,0.106357067467728,66.67,,,130200,-0.382555470543229,-2.76325616131441,-0.000829493087557642,,0.136242208370436,0.0326797385620915,
"Zip","01223","Becket","MA","Pittsfield, MA","""Pittsfield, MA""",,1.38751319314768,100,,,214100,0.610902255639098,-5.09751773049645,-0.00772536198038298,,0.0767326732673267,0.0967741935483871,
"Zip","01225","Cheshire","MA","Pittsfield, MA","""Pittsfield, MA""",,0.267110497686125,100,,58.4795,191300,-0.260688216892596,1.48541114058355,0.00073706220595926,,0.118320610687023,0.0645161290322581,
"Zip","01226","Dalton","MA","Pittsfield, MA","""Pittsfield, MA""",,0.24600146139482,,,,174500,-0.342661336379212,-0.852272727272727,0.00328939828080221,,0.112244897959184,0.0413223140495868,
