"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-02-28,24890,"Gloucester Point","VA","Virginia Beach","Gloucester",12441,205600,0.00146127618119825,-0.0181470869149952,0.00390625,0.00423618756998878,-0.0143199884908497,"2007-04","2007-Q2",249000,-0.17429718875502,"2005-08"
2018-02-28,53566,"Newfoundland","NJ","New York","Passaic",12442,302600,0,-0.0191247974068071,0.0150956055015096,0.0214757864849586,-0.0162586221369589,"2006-12","2006-Q4",400100,-0.243689077730567,"2003-12"
2018-02-28,49495,"Rapidan","VA","Washington","Culpeper",12443,215500,-0.00369856680536292,-0.0556529360210342,-0.0400890868596882,0.0557520714555344,-0.00474611042714945,"2006-06","2006-Q2",252700,-0.147210130589632,"2005-05"
2018-02-28,19885,"Pellston","MI",,"Emmet",12444,113800,-0.00698080279232112,-0.0248500428449015,-0.00262927256792287,0.0513364168391237,-0.0260005304583235,"2008-02","2008-Q1",148100,-0.231600270087779,"2003-10"
2018-02-28,35295,"Cologne","MN","Minneapolis-St Paul","Carver",12445,224600,-0.00926334362593736,-0.00970017636684303,0.00898472596585804,0.0584082803838863,0.0102125755483689,"2017-12","2017-Q4",228500,-0.0170678336980306,"2017-11"
2018-02-28,39749,"Mercer","TN","Jackson","Madison",12446,67600,-0.028735632183908,-0.028735632183908,-0.0701513067400275,-0.00351296741874452,-0.00697342988812977,"2010-07","2010-Q3",73700,-0.0827679782903663,"2005-07"
2018-02-28,7130,"Soso","MS","Laurel","Jones",12447,116100,-0.0110732538330494,-0.0300751879699248,-0.0522448979591837,0.0218635313297115,0.00532038775937749,"2015-11","2015-Q4",128700,-0.0979020979020979,"2015-07"
2018-02-28,24153,"Colebrook","CT","Torrington","Litchfield",12448,256200,-0.00194779898714453,0.054320987654321,0.0564948453608247,0.0071777703621354,-0.0066219300864192,"2007-06","2007-Q2",320500,-0.200624024960998,"2004-10"
2018-02-28,395749,"Harpswell","ME","Portland","Cumberland",12449,446700,-0.000447527411053927,0.011090991398823,0.00517551755175518,0.0291081023479323,0.0217560652275353,"2016-12","2016-Q4",449300,-0.00578677943467616,"2016-12"
2018-02-28,7950,"Williston","TN","Memphis","Fayette",12450,159800,-0.00374064837905237,-0.0154035736290819,0.0113924050632911,0.0366188500425835,0.0370179448401178,"2017-09","2017-Q3",164000,-0.025609756097561,"2017-07"
