"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-02-28,"65803","MO","Springfield","Greene","Springfield",1077,692,0.00581395348837209,0.0312965722801788,0.0312965722801788,14215
2018-02-28,"95060","CA","Santa Cruz","Santa Cruz","Santa Cruz",1078,3583,0.00872747747747748,0.0234218794630106,0.056620465939251,9124
2018-02-28,"10461","NY","New York","Bronx","New York",1079,1834,0.00935608145294441,0.0263010632344712,0.0522088353413655,2473
2018-02-28,"87108","NM","Albuquerque","Bernalillo","Albuquerque",1080,1150,0.00174216027874564,0.0087719298245614,0.0087719298245614,8978
2018-02-28,"77015","TX","Houston","Harris","Houston",1081,1339,0.00450112528132033,0.0205792682926829,0.033179012345679,10710
2018-02-28,"91405","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1082,2839,0.00424478245489919,0.00709471443774388,0.0249097472924188,4606
2018-02-28,"44212","OH","Cleveland","Medina","Brunswick",1083,1428,-0.0103950103950104,-0.012448132780083,0.0385454545454545,14476
2018-02-28,"44870","OH","Sandusky","Erie","Sandusky",1084,902,-0.00441501103752759,-0.0163576881134133,0,12964
2018-02-28,"54935","WI","Fond du Lac","Fond du Lac","Fond du Lac",1085,825,0.0135135135135135,-0.052812858783008,-0.0072202166064982,13125
2018-02-28,"30721","GA","Dalton","Whitfield","Dalton",1086,1026,0.0118343195266272,0.0342741935483871,0.0665280665280665,12528
2018-02-28,"29615","SC","Greenville","Greenville","Greenville",1087,1603,0.00124921923797626,0.00690954773869347,-0.00186799501867995,9562
2018-02-28,"77396","TX","Houston","Harris","Atascocita",1088,1479,0.00203252032520325,0.0109364319890636,0.02,11815
2018-02-28,"28412","NC","Wilmington","New Hanover","Wilmington",1089,1389,0.00361271676300578,0.00433839479392625,0.0586890243902439,12335
2018-02-28,"85365","AZ","Yuma","Yuma","Yuma",1090,1074,-0.00371057513914657,-0.00739371534195933,-0.0164835164835165,9651
2018-02-28,"70115","LA","New Orleans","Orleans","New Orleans",1091,2454,0.00573770491803279,0.0259197324414716,0.0153082333471245,5399
2018-02-28,"85719","AZ","Tucson","Pima","Tucson",1092,1214,0.00330578512396694,0.0125104253544621,0.0649122807017544,7794
2018-02-28,"95628","CA","Sacramento","Sacramento","Fair Oaks",1093,1995,0.00200904068307383,0.0132046724225495,0.0651361452215697,12846
2018-02-28,"77008","TX","Houston","Harris","Houston",1094,2477,0.0101957585644372,0.0252483443708609,-0.00161225312374043,12386
2018-02-28,"85382","AZ","Phoenix","Maricopa","Peoria",1095,1446,0.00207900207900208,0.00626304801670146,0.0321199143468951,13394
2018-02-28,"08854","NJ","New York","Middlesex","Piscataway",1096,2233,-0.00223413762287757,0.00359550561797753,0.0323624595469256,13915
2018-02-28,"46350","IN","Michigan City","La Porte","La Porte",1097,1050,0.025390625,0.0869565217391304,-0.0885416666666667,26454
2018-02-28,"90813","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",1098,2328,0.000429737859905458,0.00997830802603037,0.0586630286493861,1839
2018-02-28,"30809","GA","Augusta","Columbia","Evans",1099,1479,0.00543847722637661,0.0164948453608247,0.01440329218107,13596
2018-02-28,"37343","TN","Chattanooga","Hamilton","Chattanooga",1100,1388,0.000720980533525595,-0.00358937544867193,0.0660522273425499,13873
