"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-02-28,"90047","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1248,2443,0.00246204349610176,0.001640016400164,0.0571181306793596,13070
2018-02-28,"90018","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1249,2665,0.00338855421686747,0.00338855421686747,0.0613301473516527,7230
2018-02-28,"60126","IL","Chicago","Du Page","Elmhurst",1250,2296,0.0127922364358183,0.0300583221175415,0.055632183908046,16054
2018-02-28,"56560","MN","Fargo","Clay","Moorhead",1251,1324,0.00227100681302044,0.0122324159021407,0.0060790273556231,12442
2018-02-28,"75214","TX","Dallas-Fort Worth","Dallas","Dallas",1252,2759,0.000725426187885383,-0.0167498218104063,-0.0268077601410935,11808
2018-02-28,"96816","HI","Urban Honolulu","Honolulu","Honolulu",1253,2589,-0.00728527607361963,-0.0244913338357197,-0.0353949329359165,14482
2018-02-28,"43551","OH","Toledo","Wood","Perrysburg",1254,1603,0.00124921923797626,-0.00988264360716492,0.0708082832331329,13457
2018-02-28,"90003","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1255,2360,0.00468284376330353,0.0150537634408602,0.0992081974848626,10182
2018-02-28,"23220","VA","Richmond","Richmond City","Richmond",1256,1465,-0.00745257452574526,-0.0259308510638298,0.0615942028985507,10041
2018-02-28,"63122","MO","St. Louis","Saint Louis","Kirkwood",1257,1699,-0.00234879624192601,-0.0139291932675566,0.00295159386068477,16828
2018-02-28,"90630","CA","Los Angeles-Long Beach-Anaheim","Orange","Cypress",1258,2857,0.00316011235955056,0.00634026065516027,0.0340209916757148,13408
2018-02-28,"80011","CO","Denver","Arapahoe","Aurora",1259,1742,0.00230149597238205,0.00635470826112074,0.027122641509434,11035
2018-02-28,"30034","GA","Atlanta","Dekalb","Panthersville",1260,1124,0.00446827524575514,0.0181159420289855,0.0725190839694656,14714
2018-02-28,"32224","FL","Jacksonville","Duval","Jacksonville",1261,1572,0.0102827763496144,0.0102827763496144,0.00255102040816327,12680
2018-02-28,"32808","FL","Orlando","Orange","Pine Hills",1262,1166,0.00865051903114187,0.016564952048823,0.0466786355475763,13805
2018-02-28,"93446","CA","San Luis Obispo","San Luis Obispo","Paso Robles",1263,2198,-0.00722673893405601,-0.016994633273703,0.017121702915317,13928
2018-02-28,"60440","IL","Chicago","Will","Bolingbrook",1264,1647,-0.000606796116504854,-0.000606796116504854,0.0280898876404494,15655
2018-02-28,"75248","TX","Dallas-Fort Worth","Dallas","Dallas",1265,2445,0,-0.00366748166259169,0.017478152309613,11545
2018-02-28,"20902","MD","Washington","Montgomery","Silver Spring",1266,2181,0.00137741046831956,0.00275862068965517,0.0191588785046729,14062
2018-02-28,"28306","NC","Fayetteville","Cumberland","Fayetteville",1267,976,-0.00204498977505112,-0.0101419878296146,-0.0190954773869347,7353
2018-02-28,"23234","VA","Richmond","Richmond City","Richmond",1268,1207,0.0016597510373444,0.0108877721943049,0.0504786771105309,14571
2018-02-28,"76039","TX","Dallas-Fort Worth","Tarrant","Euless",1269,1595,0.00125549278091651,0.000627352572145546,0.0363872644574399,7826
2018-02-28,"91343","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1270,2822,0.00677845165893685,0.0118321979204016,0.0386455649613544,11689
2018-02-28,"92078","CA","San Diego","San Diego","San Marcos",1271,2711,0.00147765053564832,0.0025887573964497,0.0479319675299575,12865
2018-02-28,"19128","PA","Philadelphia","Philadelphia","Philadelphia",1272,1554,-0.00192678227360308,-0.0114503816793893,-0.00256739409499358,13079
