"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-02-28,"48439","MI","Flint","Genesee","Grand Blanc",537,1232,-0.0253164556962025,-0.08265078183172,0.00735895339329518,15757
2018-02-28,"89148","NV","Las Vegas","Clark","Las Vegas",538,1384,0.00435413642960813,0.0139194139194139,0.0532724505327245,16263
2018-02-28,"78254","TX","San Antonio","Bexar","San Antonio",539,1440,0.000694927032661571,0.00278551532033426,0.00139082058414465,15623
2018-02-28,"33141","FL","Miami-Fort Lauderdale","Miami-Dade","Miami Beach",540,1935,-0.00103252452245741,0.00103466114847387,-0.016268429079817,13933
2018-02-28,"95112","CA","San Jose","Santa Clara","San Jose",541,3220,0.00124378109452736,0.00374064837905237,0.0595590654820665,6818
2018-02-28,"78664","TX","Austin","Williamson","Round Rock",542,1528,0.000654878847413229,-0.00195950359242325,0.00592495062541145,13478
2018-02-28,"96815","HI","Urban Honolulu","Honolulu","Honolulu",543,2192,-0.00499319110304131,-0.00227583067819754,0.00689021589343133,24230
2018-02-28,"94087","CA","San Jose","Santa Clara","Sunnyvale",544,4252,0.00283018867924528,0.00591436006624083,0.0116583392814656,13744
2018-02-28,"98208","WA","Seattle","Snohomish","Seattle Hill-Silver Firs",545,2164,0.000462320850670365,0.00557620817843866,0.0444015444015444,14782
2018-02-28,"19148","PA","Philadelphia","Philadelphia","Philadelphia",546,1316,0.0015220700152207,-0.00227445034116755,0.0313479623824451,19375
2018-02-28,"07305","NJ","New York","Hudson","Jersey City",547,1909,0.00951877313590693,0.0241416309012876,0.0335679480238224,12006
2018-02-28,"30083","GA","Atlanta","Dekalb","Stone Mountain",548,1130,0.00533807829181495,0.01985559566787,0.0823754789272031,13724
2018-02-28,"53704","WI","Madison","Dane","Madison",549,1407,0.00715819613457409,0.0151515151515152,0.00356633380884451,15571
2018-02-28,"01201","MA","Pittsfield","Berkshire","Pittsfield",550,1299,-0.00306983883346124,-0.00763941940412529,-0.113310580204778,12226
2018-02-28,"20904","MD","Washington","Montgomery","Silver Spring",551,2325,0.00301984469370147,0.00562283737024221,0.0224274406332454,12543
2018-02-28,"95648","CA","Sacramento","Placer","Lincoln",552,2109,0.00476417341591234,0.0129682997118156,0.0333170014698677,18373
2018-02-28,"84404","UT","Ogden","Weber","Ogden",553,1244,0.00484652665589661,0.0213464696223317,0.0999115826702034,16175
2018-02-28,"27407","NC",,"Guilford","Greensboro",554,987,-0.00303030303030303,-0.0159521435692921,0.00920245398773006,13973
2018-02-28,"59102","MT","Billings","Yellowstone","Billings",555,1322,-0.00825206301575394,-0.0134328358208955,0.00685453160700685,15479
2018-02-28,"08759","NJ","New York","Ocean","Manchester",556,1492,0.00403768506056528,0.00606877950101146,0.054416961130742,13002
2018-02-28,"77070","TX","Houston","Harris","Houston",557,1600,0.0025062656641604,0.00565681961030798,0.0050251256281407,12055
2018-02-28,"02151","MA","Boston","Suffolk","Revere",558,2331,0.00258064516129032,-0.00808510638297872,0.0165721761883995,7165
2018-02-28,"19131","PA","Philadelphia","Philadelphia","Philadelphia",559,1215,0.00997506234413965,0.0296610169491525,0.0192953020134228,12220
2018-02-28,"96706","HI","Urban Honolulu","Honolulu","Ewa Beach",560,2409,-0.00165768752590137,-0.00495662949194548,-0.00577796120511762,16966
2018-02-28,"78209","TX","San Antonio","Bexar","San Antonio",561,2334,-0.0051150895140665,-0.0230221850146505,-0.0197396052078958,12278
2018-02-28,"75204","TX","Dallas-Fort Worth","Dallas","Dallas",562,2148,0.0013986013986014,0.000931966449207828,-0.002322340919647,4582
2018-02-28,"95125","CA","San Jose","Santa Clara","San Jose",563,3709,0.00433252098564852,0.00897714907508161,0.0226082161566033,14718
2018-02-28,"33436","FL","Miami-Fort Lauderdale","Palm Beach","Boynton Beach",564,1859,-0.0037513397642015,-0.00588235294117647,0.00161637931034483,16505
2018-02-28,"90036","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",565,5816,-0.00223022816949734,-0.0127312850110338,-0.0152387402641382,2946
2018-02-28,"06457","CT","Hartford","Middlesex","Middletown",566,1502,0.000666222518321119,-0.00661375661375661,-0.00397877984084881,11302
2018-02-28,"97124","OR","Portland","Washington","Hillsboro",567,1834,0.00109170305676856,0.00493150684931507,0.0385050962627407,12066
2018-02-28,"33463","FL","Miami-Fort Lauderdale","Palm Beach","Greenacres",568,1631,0.00245851259987707,0.0136730888750777,0.0455128205128205,17118
2018-02-28,"29579","SC","Myrtle Beach","Horry","Forestbrook",569,1402,-0.00426136363636364,-0.00778485491861288,0.0331613854089904,13964
2018-02-28,"33021","FL","Miami-Fort Lauderdale","Broward","Hollywood",570,1924,0.00104058272632674,0.00522466039707419,0.0338527673293928,16429
2018-02-28,"33324","FL","Miami-Fort Lauderdale","Broward","Plantation",571,1749,0.00114481969089868,0.00748847926267281,0.0168604651162791,15164
2018-02-28,"06511","CT","New Haven","New Haven","New Haven",572,1735,0.00289017341040462,0.00289017341040462,0.000576701268742791,3666
2018-02-28,"07047","NJ","New York","Hudson","North Bergen",573,2228,-0.0040232454179705,0.0036036036036036,0.0113481615978212,10989
2018-02-28,"92562","CA","Riverside","Riverside","Murrieta",574,2163,0.00185270958777212,0.00839160839160839,0.04644412191582,17654
2018-02-28,"98034","WA","Seattle","King","Kirkland",575,2500,0.000800640512409928,0.00482315112540193,0.0482180293501048,16077
2018-02-28,"08873","NJ","New York","Somerset","Franklin",576,2161,-0.00871559633027523,-0.0252593594948128,-0.0230560578661844,15232
2018-02-28,"76179","TX","Dallas-Fort Worth","Tarrant","Fort Worth",577,1521,-0.00327653997378768,-0.0052321778940484,0.0332880434782609,16894
2018-02-28,"77375","TX","Houston","Harris","Tomball",578,1596,0.00314267756128221,0.00884955752212389,0.017208413001912,13208
2018-02-28,"11354","NY","New York","Queens","New York",579,2225,-0.00134649910233393,-0.00669642857142857,0.0036084799278304,7510
2018-02-28,"30067","GA","Atlanta","Cobb","Marietta",580,1550,0.00649350649350649,0.00780234070221066,0.0638297872340425,10335
2018-02-28,"60004","IL","Chicago","Cook","Arlington Heights",581,2139,0.00140449438202247,0.000935891436593355,0.0378457059679767,17738
2018-02-28,"20910","MD","Washington","Montgomery","Silver Spring",582,2518,0.00398724082934609,0.0128720836685438,0.0396366639141206,9279
2018-02-28,"30075","GA","Atlanta","Fulton","Roswell",583,2282,0.0115248226950355,0.0205724508050089,0.0052863436123348,18423
2018-02-28,"85255","AZ","Phoenix","Maricopa","Scottsdale",584,3235,0.00247908273938643,-0.00338878619839803,-0.037202380952381,18838
2018-02-28,"53711","WI","Madison","Dane","Madison",585,1670,-0.0035799522673031,-0.00948991696322657,-0.0153301886792453,15001
2018-02-28,"02780","MA","Providence","Bristol","Taunton",586,1768,0.00626067159931702,0.0137614678899083,0.116161616161616,10517
2018-02-28,"02135","MA","Boston","Suffolk","Boston",587,2209,0.0013599274705349,0.00683682771194166,0.0212667591308368,7273
2018-02-28,"76137","TX","Dallas-Fort Worth","Tarrant","Fort Worth",588,1549,0.0019404915912031,0.00846354166666667,0.0312916111850866,14367
2018-02-28,"34668","FL","Tampa","Pasco","Port Richey",589,993,0.00812182741116751,0.0184615384615385,0.067741935483871,18148
2018-02-28,"45140","OH","Cincinnati","Clermont","Loveland",590,1790,-0.00500277932184547,-0.00111607142857143,0.0293271995399655,16949
2018-02-28,"94806","CA","San Francisco","Contra Costa","San Pablo",591,2431,0.00206100577081616,0.00662525879917184,0.0460413080895009,12892
2018-02-28,"92117","CA","San Diego","San Diego","San Diego",592,2775,0.00325379609544469,0.0131434830230011,0.0985748218527316,14848
2018-02-28,"32771","FL","Orlando","Seminole","Sanford",593,1384,0.00654545454545455,0.0102189781021898,0.0146627565982405,15932
2018-02-28,"43302","OH","Marion","Marion","Marion",594,826,-0.00481927710843374,-0.0107784431137725,-0.0190023752969121,16177
2018-02-28,"08527","NJ","New York","Ocean","Jackson",595,2140,-0.00880037054191755,-0.0133702166897188,-0.00186567164179104,17743
2018-02-28,"92130","CA","San Diego","San Diego","San Diego",596,4135,0.00145313635262775,0.00657254138266797,0.0492260847500634,16244
2018-02-28,"22407","VA","Washington","Spotsylvania","Fredericksburg",597,1617,0.00185873605947955,0.00873362445414847,0.0378690629011553,19082
2018-02-28,"22201","VA","Washington","Arlington","Arlington",598,2743,0.00146038700255568,0.00476190476190476,0.0125507567368032,9968
2018-02-28,"19711","DE","Philadelphia","New Castle","Newark",599,1742,0.00345622119815668,0.0211019929660023,0.0193095377413692,14718
2018-02-28,"92128","CA","San Diego","San Diego","San Diego",600,2650,0.0011333585190782,0.00531107738998482,0.0474308300395257,17701
2018-02-28,"89147","NV","Las Vegas","Clark","Las Vegas",601,1294,0,0.00387897595034911,0.0376904570970329,16815
2018-02-28,"19144","PA","Philadelphia","Philadelphia","Philadelphia",602,1257,0.00239234449760766,0.00882825040128411,0.0112630732099759,10189
2018-02-28,"48038","MI","Detroit","Macomb","Clinton",603,1439,-0.00346260387811634,-0.0204220558202859,-0.0355227882037534,13195
2018-02-28,"83646","ID","Boise City","Ada","Meridian",604,1505,0.00400266844563042,0.0107454667562122,0.0583684950773558,17119
2018-02-28,"22192","VA","Washington","Prince William","Woodbridge",605,1936,0.00676027041081643,0.0184113624408206,0.0221752903907075,17704
2018-02-28,"07728","NJ","New York","Monmouth","Freehold",606,2307,0.00698384984722828,0.0113985094256905,0.0410649819494585,17743
