"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"90069","West Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69458987783595,2.71419772097321,3.00468953372636,3.04259773982372,2.85638742225004,2.86585365853659,2.87891617273497,3.1170399437308,2.746336996337,2.73855311355311,2.7,2.96321277719113,2.86782021592355,2.98848051830099,3,2.91428842264914,2.87891617273497,3.10526315789474,3.05263157894737,3.28472222222222,2.99625468164794,2.99625468164794,3.1413612565445,2.96359017781541,2.8594674556213,2.99625468164794,3.14932574799831,3.0188679245283,3.1068607278598,3.24312846525894,2.86,3.12773012552301,3.01003344481605,2.97392227219892,3.15696779060877,3.0527950310559,2.94932079414838,3.07466562784054,3.17975340687865,3.20966800133467,3.22780881440099,3.28235357450474,3.29583333333333,3.27990944042652,3.13218390804598,3.15911143234465,3.22188449848024,3.11957555921913,3.22188449848024,3.2931467471955,3.31191291132847
"77009","Houston","TX","Houston","Harris",796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51515151515152,1.51897476886259,1.40279669036189,1.60295930949445,1.60173573669345,1.53203342618384,1.45826155898306,1.52616279069767,1.46880415944541,1.53375719906483,1.51821862348178,1.4797507788162,1.4797507788162,1.54682274247492,1.58670215316741,1.58974358974359,1.52173913043478,1.63282284901942,1.61954447145933,1.52616279069767,1.51821862348178,1.45896984292441,1.53314370197034,1.52714932126697,1.55594405594406,1.70128684655802,1.53361344537815,1.65001727766783,1.59970238095238,1.55,1.68403302124232,1.52439024390244,1.4117558854401,1.4525993883792,1.51771255060729,1.53857466063348,1.56171328671329,1.52173913043478,1.45833333333333,1.5,1.5,1.48809523809524,1.53501575216592,1.59532729985727,1.53516548463357,1.59143518518519,1.54981549815498,1.50240384615385,1.51515151515152
"30305","Atlanta","GA","Atlanta","Fulton",797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43967093646378,1.52801358234295,1.54263565891473,1.72673031026253,1.72585309427415,1.83585233441911,1.87253983130272,1.74256415123438,1.72069043984488,1.7773679857169,1.72006940427993,1.73803617389677,1.74272212319869,1.82402277039848,1.83170466883822,1.86436148163071,1.85070575461455,1.8368407419847,1.82127955493741,1.75472209996303,1.75280836605849,1.74639875770552,1.79926784624771,1.67669172932331,1.6499795713702,1.65730557737628,1.57822817671874,1.61574986798099,1.54814760899629,1.6031746031746,1.61393166714198,1.65405686076788,1.62284027203382,1.62790697674419,1.58249158249158,1.7278156996587,1.79533966673928,1.81432545201669,1.77420011092941,1.76291687225581,1.763491005996,1.64857054345902,1.65998394806147,1.60581499349443,1.58333333333333,1.66830466830467,1.71356783919598,1.65913043478261
"19130","Philadelphia","PA","Philadelphia","Philadelphia",798,,,,,,,,,,,,,,,,,,1.62419442679495,1.63316610925307,1.67675028651034,1.66037735849057,1.67908865825533,1.70175452544599,1.53445788822732,1.43815915627996,1.442705343938,1.43952479854478,1.4505893019039,1.52803261977574,1.57900101936799,1.59781529294935,1.67548500881834,1.71232876712329,1.64984227129338,1.64705882352941,1.61977573904179,1.68264621284756,1.56880733944954,1.56375838926175,1.52792689950224,1.53630704050167,1.49358974358974,1.59397705544933,1.6246711960368,1.79368805031447,1.81323662737987,1.7792,1.73382625966064,1.67548500881834,1.64782608695652,1.77954319761668,1.6875,1.68337264150943,1.67548500881834,1.68149250440917,1.64713032581454,1.69892857142857,1.7175572519084,1.69444444444444,1.70588235294118,1.7310989010989,1.76931106471816,1.69230769230769,1.75834451229686,1.78571428571429,1.77195652173913,1.73879310344828,1.72535100792219,1.71428571428571,1.88288269706743,1.72222222222222,1.86219739292365,1.95434782608696,1.93333333333333,1.80863477246208,1.72222222222222,1.67427701674277,1.72802404207363,1.75438596491228,1.80720791895158,1.93355067854114,1.88235294117647,1.86518472906404,2.01254789272031,1.93142857142857,1.9,1.94310344827586,1.89046822742475,2.12025316455696,2.14706260326785
"30338","Dunwoody","GA","Atlanta","Dekalb",799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19445415695416,1.2490157480315,1.26427165354331,1.25,1.22652388797364,1.27594728171334,1.31654856205758,1.25453047775947,1.22137404580153,1.27519051651143,1.34868135352547,1.29173326120632,1.3171334431631,1.29276259728455
"84107","Murray","UT","Salt Lake City","Salt Lake",800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.969251911290832,0.963855421686747,1.07908142637665,0.940201494962626,1.00701402805611,0.986695906432749,1.00701402805611,1.05711422845691,1.02040816326531,1.02297780426039,1.05210420841683,1.08333333333333,1.03170577786088,1.07294248982965,1.11426543647977,1.13761778634899,1.12448849104859,1.07286673058485,1.05042016806723,1.00437055281883,1.10633727175081
"53154","Oak Creek","WI","Milwaukee","Milwaukee",801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.931174089068826,0.930599369085173,0.946411483253588,0.930599369085173,0.967766116941529,0.938775510204082,0.953523222299061,0.939697352760924,0.946372239747634,0.94393600320652,1.0053427222458,1.03191489361702,1.02624794908134,1.02288935069595
"78749","Austin","TX","Austin","Travis",802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37694974003466,1.36144578313253,1.36921708185053,1.38105210670656,1.32495667244367,1.33362218370884,1.35186673905327,1.42770562770563,1.32780754012359,1.28113879003559,1.27622950819672,1.29106277642863
"20110","Manassas","VA","Washington","Prince William",803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55443041037553,1.56845238095238,1.55531974569933,1.51686507936508,1.51388888888889,1.49604221635884,1.49866357101305,1.50099206349206,1.50407450523865,1.44928218233192,1.58003822820577,1.5489653564008
"80203","Denver","CO","Denver","Denver",804,,,,,,,,,,,,,,,,,,,1.44074947589099,1.55888260370553,1.55312559601115,1.54741720648837,1.66825548141087,1.60056657223796,1.5049133174406,1.50410943370179,1.54225786551511,1.57769304099142,1.510603362087,1.51024390243902,1.54611650485437,1.70590898116852,1.53256704980843,1.68678804084186,1.70532060027285,1.74603174603175,1.731712859572,1.58924301470284,1.58252427184466,1.62059103908484,1.5764631843927,1.53141991878312,1.53568007662835,1.57135785007072,1.65296334361083,1.57927864214993,1.67273972934957,1.81026137463698,1.73444145473483,1.79002627117065,1.69354838709677,1.81026137463698,1.81026137463698,1.79934715151299,1.80136319376826,1.83911764705882,1.84621599340478,1.82974565073772,1.915351583625,1.93016669970812,1.85728250244379,1.7976618705036,1.80817550223892,1.80567139282736,1.77906976744186,1.73286991062562,1.83176470588235,1.84,1.95356037151703,1.85393258426966,1.84954545454545,1.84601787487587,1.93298969072165,1.97177837409282,1.87061501383558,1.76142697881828,1.80897250361794,1.83028286189684,1.87209915611814,1.87647058823529,1.90141396008891,1.87647058823529,1.82523267838676,1.92154915590864,1.91953746455226,1.88746380967034,1.87934458788481,1.89982728842832,1.89360764507823,1.91588429556714
