"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"11201","New York","NY","New York","Kings",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63732128032469,4.53516024548244,4.54939362772325,4.60365853658537,4.65322580645161,4.71175164466896,4.58374384236453,4.6024427652252,4.46896551724138,4.43888888888889,4.59193121693122,4.46082089552239,4.4727041759054,4.42157966324281,4.5120320855615
"90046","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60714285714286,2.46153846153846,2.53970588235294,2.61165048543689,2.48329907502569,2.60714285714286,2.75004406451044,2.74035714285714,2.75714285714286,2.895,2.83216783216783,2.68969126111983,2.71736301369863,2.80625,2.66333333333333,2.68695652173913
"78130","New Braunfels","TX","San Antonio","Comal",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08291695985121,1.01824817518248,1.01824817518248,1.01897689768977,1.07697740112994,1.09124087591241,1.08438485804416,1.05608157319738,1.02254041248606,1.01824817518248,1.01824817518248,1.01824817518248,0.989645754807385,1.01824817518248
"20009","Washington","DC","Washington","District of Columbia",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.60555555555556,3.4,3.42857142857143,3.40714285714286,3.42142857142857,3.42142857142857,3.5,3.56428571428571,3.77777777777778,4.07142857142857,4.02439024390244,3.95612244897959,3.97745098039216,4.23529411764706,4.14162895927602,4.2,4.1656862745098,4.16666666666667,4.16333333333333,4.17178542178542,4.17705735660848,4.24615384615385,4.32705432705433,4.29544677013031,4.35606060606061,4.28571428571429,4.45384615384615,4.37647058823529,4.42241586538462,4.47692307692308,4.62,4.77104825291181,4.83529411764706,4.6,4.61818181818182,4.6,4.47692307692308,4.47692307692308,4.74209650582363,4.47692307692308,4.43076923076923,4.28571428571429,4.07142857142857,4.05238095238095,3.96666666666667,3.83333333333333,3.94557823129252,4.10526315789474,4.08834586466165,4.01904761904762,3.95612244897959,3.95612244897959,3.96666666666667,4.30588235294118
"10462","New York","NY","New York","Bronx",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.647030651341,1.92857142857143,1.93123367490456,1.93740685543964,2.03933101624929,2.08,2.04318886782699,2.05145112795492,2.12916666666667,2,1.925,1.9690576652602,1.99230769230769,1.90909090909091
"60613","Chicago","IL","Chicago","Cook",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65771715721464,1.64642857142857,1.65549450549451,1.52935588507878,1.58957219251337,1.64318181818182,1.7,1.7,1.68461538461538,1.65,1.65,1.65,1.64791666666667,1.71724137931034,1.75,1.69921875,1.70694444444444,1.7257053291536,1.78620689655172,1.77692307692308,1.73854166666667,1.70588235294118,1.67047184170472,1.71875,1.68125,1.70497685185185,1.83985266652833,1.88465802490193,1.83,1.875,1.82392857142857,1.82888888888889,1.72666666666667,1.6875,1.66333333333333,1.66666666666667,1.725,1.75,1.88875
"10463","New York","NY","New York","Bronx",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43617886178862,2.46666666666667,2.4541958041958,2.41448692152917,2.46817082997583,2.42820512820513,2.42307692307692,2.33333333333333,2.51086956521739,2.56389986824769,2.4390243902439,2.44173441734417,2.43384615384615,2.46600877192982
"11230","New York","NY","New York","Kings",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13796022005925,2.30151515151515,2.26136363636364,2.26846846846847,2.31578947368421,2.23529411764706,2.25,2.26296580868229,2.33974358974359,2.33333333333333,2.36375661375661,2.37268518518519,2.36739612082183,2.24375,2.21428571428571
"11209","New York","NY","New York","Kings",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93333333333333,1.96666666666667,2,2.12232294617564,2.17592592592593,2.11111111111111,1.99607329842932,2,2.07142857142857,2.0625,2.08333333333333,2.1575682382134,2.09090909090909,2.14285714285714,2.2,2.07317073170732,2.2,2.0625,2.02173913043478,2.14285714285714,2.02631578947368,2.17198322662773,2.36296296296296,2.33430941922889,2.32916666666667,2.33088235294118,2.30769230769231,2.27586206896552,2.27045454545455,2.32291666666667,2.26277372262774,2.20689655172414,2.25806451612903,2.28571428571429,2.27272727272727
"60625","Chicago","IL","Chicago","Cook",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.43333333333333,1.41666666666667,1.4,1.4,1.45,1.46007575757576,1.42857142857143,1.49375,1.53729508196721,1.52173913043478,1.55625,1.5625,1.65,1.6375,1.41189655172414,1.43666666666667,1.43333333333333,1.5,1.5763198757764,1.52941176470588,1.55,1.6,1.62995594713656,1.72308488612836,1.67261904761905,1.67894736842105,1.5975,1.52086956521739,1.56517094017094,1.5975,1.55086206896552
"07030","Hoboken","NJ","New York","Hudson",21,,,,,,,,,,,,,,,,,,,,,,,,2.92619047619048,2.83333333333333,2.75,2.74471996771445,2.81497175141243,2.85256088165344,2.9047619047619,3,2.91229133010232,2.9,2.90322580645161,2.88562091503268,2.87958813995614,2.83333333333333,2.83300198807157,2.82957028404953,2.81818181818182,2.88151671084776,3,3.03944805049063,3,3,3,2.86301488404292,2.82150094080185,2.82150094080185,2.83333333333333,2.8030612244898,2.8093112244898,2.795,3.00435471100554,2.8695652173913,2.8030612244898,2.8030612244898,2.85,2.88888888888889,2.80612244897959,3.125,3,3,2.93478260869565,2.94324334278664,2.83089092334753,3.02,2.85,2.8,2.9,2.80612244897959,2.85282969885774,3,3.1,3.125,3.125,3.10364626413014,3.07407407407407,3.125,3.095064439494,3.05294117647059,3.00353356890459,2.93547297297297,2.95838751625488,2.9375
"33160","Sunny Isles Beach","FL","Miami-Fort Lauderdale","Miami-Dade",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90669389204545,1.95,1.95439822359844,1.97706989772653,2.03644158628081,1.95822788046118,1.93920335429769,1.97183098591549,1.95567144719687,1.93673337637185,1.92307692307692,2.08167257834497,1.91368689903846,1.95121951219512,2,1.84210526315789,2.07754602296879,2.06538461538462,1.94660734149055,1.95439822359844,2.23126578725793,2.45964642582629,2.37416904083571,2.26415094339623,2.20776202649314,2.29559748427673,2.23270440251572,2.23499361430396,2.2182559918409,2.2695530726257,2.23499361430396,2.26272784412319,2.19947794747544
"78704","Austin","TX","Austin","Travis",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70035149384886,1.69624675626977,1.675,1.64285714285714,1.6,1.57321428571429,1.57124518613607,1.58527131782946,1.58333333333333,1.57575757575758,1.39232288828338,1.41509433962264,1.42105263157895,1.42540234884732,1.47450657894737,1.60045317220544,1.51041666666667,1.54362416107383,1.54774436090226,1.5620613324695,1.72347520863354,1.58794162826421,1.59307359307359,1.57936507936508,1.52913682233867,1.48421052631579,1.4609547123623,1.52586735536215,1.56505386329866,1.65008291873964,1.6287327345376,1.59666666666667,1.5952380952381,1.46842105263158,1.58270385275102,1.45,1.59484916125541,1.50569490131579,1.58695378890733,1.58695652173913,1.44618863049096,1.51757865937073,1.57051282051282,1.64285714285714,1.70454545454545,1.65217391304348,1.61721282048725,1.58761363636364,1.59,1.64002218661408,1.63208567867757,1.63208567867757,1.75,1.63047662298343,1.74619289340102
"11229","New York","NY","New York","Kings",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80625,2.09090909090909,2.08333333333333,2.1,2.12563218390805,2.13111111111111,2.16666666666667,2.21357012750455,2.18090909090909,2.08333333333333,2.16666666666667,1.94538011695906,2.10204081632653,2.18181818181818,2.20454545454545
"90034","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35909090909091,2.4165873015873,2.44309346567411,2.49166666666667,2.45,2.45,2.54591836734694,2.61379310344828,2.66,2.64418196017181,2.5,2.72,2.62631578947368,2.54591836734694
"10019","New York","NY","New York","New York",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39340397374772,5.38311688311688,5.34124629080119,5.29202746435756,5.368,5.33033804022251,5.34545454545455,5.4336383125335,5.45454545454545,5.41607118589083,5.41368743615935,5.41666666666667,5.40082079343365,5.35608308605341,5.35146443514644,5.33005617977528,5.28428571428571,5.32438565927013,5.30329634133982,5.35608308605341,5.46040476787183,5.5,5.38461538461539,5.43076167076167,5.33412591901039,5.31155303030303,5.29744588744589,5.32734274711168,5.2412605344296,5.1985049833887,5.34316666666667,5.28992878942014,5.32438565927013,5.28571428571429,5.42909090909091,5.45454545454545,5.45454545454545,5.3984126984127,5.32734274711168,5.3834808259587,5.25090909090909,5.30804953560371,5.21428571428571,5.1980957542981
"33139","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",27,,,,,,,,,,,,,,,,,,,,,,2.16375824643541,2.16532021151586,2.10714285714286,2.35368956743003,2.48373743347132,2.5,2.5,2.4375,2.85714285714286,2.875,2.70844618996027,2.61194029850746,2.6541095890411,2.64350453172205,2.63636363636364,2.6541095890411,2.63888888888889,2.65833333333333,2.74725274725275,2.66099064192328,2.74673243423243,2.75,2.73381294964029,2.70161290322581,2.72078501338091,2.82216293597085,2.80112044817927,2.75275820703871,2.82608695652174,2.78854751805572,2.72727272727273,2.77075399847677,2.78688524590164,2.78817946505608,2.80112044817927,2.83421514865907,2.80056022408964,2.80112044817927,2.90519877675841,2.86166581327872,2.87037037037037,2.82651072124756,2.81818181818182,2.94665012406948,2.92812777284827,2.85714285714286,2.82752120640905,3.08370044052863,3.04571358388602,2.88203753351206,2.86103542234332,2.89256198347107,2.9375,2.93918918918919,3,2.91406388642413,2.9375,2.90548632653896,2.94871794871795,2.97619047619048,3.01724137931034,3.00200133422282,2.92812777284827,2.875
"11377","New York","NY","New York","Queens",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37254901960784,2.35357142857143,2.48730964467005,2.4,2.32142857142857,2.35982142857143,2.25641025641026,2.5,2.53478260869565,2.47560419516644,2.48383339358156,2.5,2.5,2.42124060150376,2.46428571428571,2.4,2.39954599856755,2.50912408759124,2.42714285714286,2.43654822335025,2.46153846153846
