GEO.id,GEO.id2,GEO.display-label,HC01_VC04,HC01_VC05,HC03_VC49,HC03_VC50,HC03_VC56
Id,Id2,Geography,Estimate; SEX AND AGE - Total population - Male,Estimate; SEX AND AGE - Total population - Female,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - Asian
8600000US98072,98072,ZCTA5 98072,11410,11596,85.6,1,8.7
8600000US98074,98074,ZCTA5 98074,13526,13658,72.1,0.8,22.5
8600000US98075,98075,ZCTA5 98075,11466,11947,69.5,1,25.7
8600000US98077,98077,ZCTA5 98077,7377,7301,88.5,0.7,6.2
8600000US98087,98087,ZCTA5 98087,18318,18331,57.1,5.9,20.8
8600000US98092,98092,ZCTA5 98092,21047,22109,70.8,3.1,10.6
8600000US98101,98101,ZCTA5 98101,6703,5341,72.7,5.2,12.6
8600000US98102,98102,ZCTA5 98102,12824,11206,80.4,1.9,10.4
8600000US98103,98103,ZCTA5 98103,24563,24801,84,1.3,7.1
8600000US98104,98104,ZCTA5 98104,8551,5438,49.4,13.7,25.4
8600000US98105,98105,ZCTA5 98105,23230,23284,65.2,1.9,23.8
8600000US98106,98106,ZCTA5 98106,12503,13343,51.4,12.9,16.8
8600000US98107,98107,ZCTA5 98107,12052,12127,85.2,1.7,5.5
8600000US98108,98108,ZCTA5 98108,12329,12022,30.2,19.1,37.1
8600000US98109,98109,ZCTA5 98109,13425,12481,73.4,2.5,15.4
8600000US98110,98110,ZCTA5 98110,11229,12347,89.9,1,3.2
8600000US98112,98112,ZCTA5 98112,11930,11152,85.1,3.4,5.6
8600000US98115,98115,ZCTA5 98115,24543,25715,80.6,1.9,10.5
8600000US98116,98116,ZCTA5 98116,11956,13278,84.4,2,6.3
8600000US98117,98117,ZCTA5 98117,16206,16476,87.9,0.7,5.3
8600000US98118,98118,ZCTA5 98118,21645,23041,35.2,23.1,29.5
8600000US98119,98119,ZCTA5 98119,11830,12737,81.7,2.2,8.2
8600000US98121,98121,ZCTA5 98121,8432,6246,66.1,6.3,19.5
8600000US98122,98122,ZCTA5 98122,18574,16871,67.3,11.3,9.7
8600000US98125,98125,ZCTA5 98125,19305,20387,65.3,9.3,14.5
8600000US98126,98126,ZCTA5 98126,10885,11747,66.9,12.7,10
8600000US98133,98133,ZCTA5 98133,23113,24409,67.5,7.4,14.8
8600000US98134,98134,ZCTA5 98134,647,200,45.5,17.6,20.3
8600000US98136,98136,ZCTA5 98136,7692,8398,83.9,3.3,4.6
8600000US98144,98144,ZCTA5 98144,14995,15095,48.4,17.5,19.4
8600000US98146,98146,ZCTA5 98146,13900,13556,59.6,7.5,11.6
8600000US98148,98148,ZCTA5 98148,5779,5478,60.1,10.9,9.6
8600000US98154,98154,ZCTA5 98154,0,0,,,
8600000US98155,98155,ZCTA5 98155,16375,17799,73.7,4.8,10.2
8600000US98158,98158,ZCTA5 98158,0,0,,,
8600000US98164,98164,ZCTA5 98164,64,71,92.6,0,0
8600000US98166,98166,ZCTA5 98166,10747,10271,78.4,2.5,5.6
8600000US98168,98168,ZCTA5 98168,16918,15687,49.9,10.9,18.6
8600000US98174,98174,ZCTA5 98174,0,0,,,
8600000US98177,98177,ZCTA5 98177,9665,10260,82.6,1.5,8.6
8600000US98178,98178,ZCTA5 98178,12732,13519,28.8,24.2,32.3
8600000US98188,98188,ZCTA5 98188,12873,12039,42.6,24.3,16.5
8600000US98195,98195,ZCTA5 98195,40,12,76.9,23.1,0
8600000US98198,98198,ZCTA5 98198,18891,17877,57.7,9.7,13.3
8600000US98199,98199,ZCTA5 98199,10012,11005,84.7,2.2,7.3
8600000US98201,98201,ZCTA5 98201,14853,13584,79.7,3.2,5.5
8600000US98203,98203,ZCTA5 98203,17561,17067,77.6,2.4,7.9
8600000US98204,98204,ZCTA5 98204,21578,19998,66,8,11.8
8600000US98205,98205,ZCTA5 98205,6337,6446,90.5,0.5,3.7
8600000US98207,98207,ZCTA5 98207,1207,233,66.1,16.8,7.3
8600000US98208,98208,ZCTA5 98208,27755,29167,73.7,4.3,11.2
8600000US98220,98220,ZCTA5 98220,475,374,95.4,0,0
8600000US98221,98221,ZCTA5 98221,9963,10897,93.1,0.5,2
8600000US98222,98222,ZCTA5 98222,24,24,100,0,0
8600000US98223,98223,ZCTA5 98223,20283,21206,91.6,0.9,1.6
8600000US98224,98224,ZCTA5 98224,134,99,91,0,0
8600000US98225,98225,ZCTA5 98225,24495,24745,86.1,1.2,4.1
8600000US98226,98226,ZCTA5 98226,20937,20803,77.9,1.4,6.8
8600000US98229,98229,ZCTA5 98229,15359,15453,85.8,0.8,3.3
8600000US98230,98230,ZCTA5 98230,8112,7794,88.1,1.1,5
8600000US98232,98232,ZCTA5 98232,2171,1942,95.2,0.2,1.1
8600000US98233,98233,ZCTA5 98233,7202,7694,80.8,0.6,1.9
8600000US98235,98235,ZCTA5 98235,17,40,100,0,0
8600000US98236,98236,ZCTA5 98236,3071,2933,93.2,0.9,0.3
8600000US98237,98237,ZCTA5 98237,2159,2211,90.9,0.2,0.6
8600000US98238,98238,ZCTA5 98238,6,5,100,0,0
8600000US98239,98239,ZCTA5 98239,3470,3643,95.2,0.5,1.9
8600000US98240,98240,ZCTA5 98240,1512,1587,90.1,0.6,0.7
8600000US98241,98241,ZCTA5 98241,1108,933,90.5,0.4,0
8600000US98243,98243,ZCTA5 98243,248,224,96.2,0,0
8600000US98244,98244,ZCTA5 98244,1512,1596,82.9,0.1,4.6
